LOCAL;ENDERECO;REGIAO;LATITUDE;LONGITUDE;EVENTO;DESCRICAO;DATA_INICIO;HORAINICIO;DATA_FIM;PUBLICO_ESTIMADO;PORTE_EVENTO;TIPOEVENTO
Cine Theatro Brasil;Av. Amazonas, 315 - Centro;Centro-Sul;-19.9191;-43.9378;THE BEAST EXPERIENCE SYMPHONIC;Espetáculo sinfônico inspirado em Iron Maiden;02/08/2026;19:00;02/08/2026;1200;MÉDIO;Cultural
Cine Theatro Brasil;Av. Amazonas, 315 - Centro;Centro-Sul;-19.9191;-43.9378;MICHAEL JACKSON - LIVE EXPERIENCE;Tributo ao Michael Jackson;25/07/2026;19:00;25/07/2026;1200;MÉDIO;Cultural
Cine Theatro Brasil;Av. Amazonas, 315 - Centro;Centro-Sul;-19.9191;-43.9378;STORIES OF SURRENDER COM MARCELO ANTUNES;Show tributo ao U2;23/05/2026;19:00;23/05/2026;900;PEQUENO;Cultural
Cine Theatro Brasil;Av. Amazonas, 315 - Centro;Centro-Sul;-19.9191;-43.9378;DELSON GUIMARÃES APRESENTA HERMELÉTICA;Show instrumental autoral;24/05/2026;18:00;24/05/2026;700;PEQUENO;Cultural
Cine Theatro Brasil;Av. Amazonas, 315 - Centro;Centro-Sul;-19.9191;-43.9378;SHOW DE LANÇAMENTO: NA BOCA DA NOITE - JOANA ROCHAEL;Lançamento de álbum solo;17/05/2026;18:00;17/05/2026;700;PEQUENO;Cultural
Grande Teatro Cemig Palácio das Artes;Av. Afonso Pena, 1537 - Centro;Centro-Sul;-19.9268;-43.9345;TURNÊ BRASIL – ELI SOARES;Turnê nacional gospel;18/05/2026;20:00;18/05/2026;1700;MÉDIO;Cultural
Cine Theatro Brasil;Av. Amazonas, 315 - Centro;Centro-Sul;-19.9191;-43.9378;MATEUS ASATO - ASATOUR;Show instrumental de guitarra;03/09/2026;20:00;03/09/2026;1200;MÉDIO;Cultural
Cine Theatro Brasil;Av. Amazonas, 315 - Centro;Centro-Sul;-19.9191;-43.9378;A LUREX – QUEEN TRIBUTE APRESENTA: DON'T STOP ME NOW;Tributo ao Queen;06/06/2026;21:00;07/06/2026;1200;MÉDIO;Cultural
Arena Hall;Av. Nossa Senhora do Carmo, 230 - Savassi;Centro-Sul;-19.9442;-43.9342;RUSH: FIFTY SOMETHING TOUR BH;Turnê internacional do Rush;01/02/2027;16:00;01/02/2027;6000;GRANDE;Cultural
Cine Theatro Brasil;Av. Amazonas, 315 - Centro;Centro-Sul;-19.9191;-43.9378;MOSTRA CINE THEATRO BRASIL DE MÚSICA CONVIDA: ORQUESTRA OPUS E CHICO CHICO;Concerto especial;19/06/2026;20:00;19/06/2026;1200;MÉDIO;Cultural
Mineirão;Av. Antônio Abrahão Caram, 1001 - Pampulha;Pampulha;-19.8659;-43.971;ZECA & ALCIONE & ARAGÃO: O MAIOR ENCONTRO DO SAMBA - BH;Grande encontro do samba;28/11/2026;20:00;29/11/2026;45000;MEGA;Cultural
Mister Rock;Av. Teresa Cristina, 295 - Prado;Oeste;-19.9306;-43.962;EDU FALASCHI – MI’RAJ TOUR;Show de heavy metal;08/08/2026;21:00;09/08/2026;2500;MÉDIO;Cultural
Cine Theatro Brasil;Av. Amazonas, 315 - Centro;Centro-Sul;-19.9191;-43.9378;QUARTETINHO APRESENTA CAETANO E GIL EM JAZZ;Jazz em homenagem a Caetano e Gil;26/07/2026;18:00;26/07/2026;900;PEQUENO;Cultural
Cine Theatro Brasil;Av. Amazonas, 315 - Centro;Centro-Sul;-19.9191;-43.9378;JOVI BRASIL BANDA;Show tributo Bon Jovi;21/06/2026;18:00;21/06/2026;1000;PEQUENO;Cultural
Cine Theatro Brasil;Av. Amazonas, 315 - Centro;Centro-Sul;-19.9191;-43.9378;CADU DE ANDRADE APRESENTA: NANA, A MAIS FINA FLOR;Tributo musical;26/06/2026;20:00;26/06/2026;900;PEQUENO;Cultural
Cine Theatro Brasil;Av. Amazonas, 315 - Centro;Centro-Sul;-19.9191;-43.9378;SHOW BEE GEES BRAZIL: EMBALOS DE SÁBADO À NOITE;Tributo Bee Gees;22/08/2026;19:00;22/08/2026;1200;MÉDIO;Cultural
BeFly Hall;Av. Nossa Senhora do Carmo, 230 - Savassi;Centro-Sul;-19.9442;-43.9342;BARÃO VERMELHO - ENCONTRO BH;Reunião da formação original;26/09/2026;21:00;27/09/2026;4000;GRANDE;Cultural
BeFly Hall;Av. Nossa Senhora do Carmo, 230 - Savassi;Centro-Sul;-19.9442;-43.9342;EMICIDA RACIONAL MCMV TOUR - BH;Turnê do Emicida;05/09/2026;21:00;06/09/2026;4000;GRANDE;Cultural
Cine Theatro Brasil;Av. Amazonas, 315 - Centro;Centro-Sul;-19.9191;-43.9378;PEDRA LETÍCIA – TOUR 2026;Turnê comemorativa;20/09/2026;20:00;20/09/2026;1200;MÉDIO;Cultural
Teatro Francisco Nunes;Av. Afonso Pena, 1321 - Centro;Centro-Sul;-19.9235;-43.935;EPOPBH - FESTIVAL DE MÚSICA POP;Festival de música pop autoral;24/09/2026;20:00;25/09/2026;1800;MÉDIO;Cultural
Centro Cultural Banco do Brasil;Praça da Liberdade, 450 - Funcionários;Centro-Sul;-19.9321258;-43.9372222;"Musical ""Romeu e Julieta de Parintins – Ecos da Selva""";Espetáculo musical inspirado em Romeu e Julieta;08/05/2026;20:00;15/06/2026;1200;MÉDIO;Cultural
Cine Humberto Mauro;Avenida Afonso Pena, 1537 - Centro;Centro-Sul;-19.9257944;-43.9343075;De Lá Pra Cá: Uma Mostra da Varda;Mostra audiovisual e cinema;14/05/2026;09:30;07/06/2026;600;PEQUENO;Cultural
Grande Teatro Cemig Palácio das Artes;Avenida Afonso Pena, 1537 - Centro;Centro-Sul;-19.9257;-43.9343;"Espetáculo: ""A Lenda da Serpente"" - Companhia Nacional da Ópera de Pequim";Ópera e artes cênicas internacionais;16/05/2026;20:30;16/05/2026;1700;MÉDIO;Cultural
Teatro Joanna de Ângelis;Rua Diamantina, 463 - Lagoinha;Noroeste;-19.9097;-43.9446;"Espetáculo: Joanna de Ângelis ""Transição""";Espetáculo teatral espírita;16/05/2026;20:00;16/05/2026;800;PEQUENO;Cultural
BeFly Hall;Av. Nossa Senhora do Carmo, 230 - Savassi;Centro-Sul;-19.9442;-43.9342;SIMPLESMENTE ROUPA NOVA;Show da banda Roupa Nova;22/08/2026;21:00;23/08/2026;4000;GRANDE;Cultural
BeFly Hall;Av. Nossa Senhora do Carmo, 230 - Savassi;Centro-Sul;-19.9442;-43.9342;BACO EXU DO BLUES;Show nacional de rap e MPB;25/07/2026;22:00;26/07/2026;4000;GRANDE;Cultural
BeFly Hall;Av. Nossa Senhora do Carmo, 230 - Savassi;Centro-Sul;-19.9442;-43.9342;ALCEU VALENÇA 80 GIRASSÓIS;Turnê comemorativa de Alceu Valença;20/06/2026;22:00;21/06/2026;4000;GRANDE;Cultural
Parque Ecológico da Pampulha;Av. Otacílio Negrão de Lima, 6061 - Pampulha;Pampulha;-19.8519;-43.9803;FESTIVAL SENSACIONAL! 2026;Festival multicultural com atrações nacionais;08/08/2026;12:00;09/08/2026;20000;MEGA;Cultural
Área Externa do Mineirinho;Av. Antônio Abrahão Caram, 1000 - Pampulha;Pampulha;-19.8668;-43.9714;RAP GAME FESTIVAL 2026;Festival de rap e hip hop;11/04/2026;11:00;11/04/2026;15000;GRANDE;Cultural
Arena MRV;Rua Cristina Maria de Assis, 202 - Califórnia;Noroeste;-19.9227;-44.0154;THE SEND BRASIL 2026;Evento cristão musical e espiritual;31/01/2026;09:00;31/01/2026;45000;MEGA;Cultural
Parque Municipal das Mangabeiras;Av. José do Patrocínio Pontes, 580 - Mangabeiras;Centro-Sul;-19.9504;-43.9132;WE LOVE BH 2026;Festival de música eletrônica;14/03/2026;16:00;15/03/2026;12000;GRANDE;Cultural
BeFly Minascentro;Av. Augusto de Lima, 785 - Centro;Centro-Sul;-19.9208;-43.9406;DIOGO NOGUEIRA - INFINITO SAMBA TOUR 20 ANOS;Turnê comemorativa de samba;07/06/2026;19:00;07/06/2026;3500;GRANDE;Cultural
BeFly Hall;Av. Nossa Senhora do Carmo, 230 - Savassi;Centro-Sul;-19.9442;-43.9342;ANAVITÓRIA – TURNÊ DOS NAMORADOS 2026;Show da dupla ANAVITÓRIA;04/06/2026;21:00;05/06/2026;4000;GRANDE;Cultural
BeFly Hall;Av. Nossa Senhora do Carmo, 230 - Savassi;Centro-Sul;-19.9442;-43.9342;LOBÃO;Show nacional de rock;16/05/2026;22:00;17/05/2026;3500;GRANDE;Cultural
Clube de Jazz do Café com Letras;Rua Antônio de Albuquerque, 781 - Savassi;Centro-Sul;-19.9398;-43.9347;Happy Feet Jazz Band;Show de jazz instrumental;12/05/2026;20:00;12/05/2026;300;PEQUENO;Cultural
Sala Juvenal Dias;Av. Afonso Pena, 1537 - Centro;Centro-Sul;-19.9257;-43.9343;TUTO FERRAZ QUARTETO;Concerto instrumental de jazz;15/05/2026;20:00;15/05/2026;500;PEQUENO;Cultural
Teatro do Centro Cultural Unimed-BH Minas;Rua da Bahia, 2244 - Lourdes;Centro-Sul;-19.9328;-43.9422;CONCERTO – DO BARROCO AO POP;Concerto clássico e contemporâneo;27/08/2026;20:00;27/08/2026;1500;MÉDIO;Cultural
Arena MRV;Rua Cristina Maria de Assis, 202 - Califórnia;Noroeste;-19.9227;-44.0154;Conexão Belo Horizonte 2026;Festival multicultural e musical;07/03/2026;14:00;08/03/2026;18000;GRANDE;Cultural
Praça da Estação;Praça da Estação - Centro;Centro-Sul;-19.9167;-43.9345;Então, Brilha!;Bloco tradicional do carnaval de Belo Horizonte;01/03/2025;05:00;01/03/2025;500000;MEGA;Carnaval
Rua Sapucaí;Rua Sapucaí - Floresta;Leste;-19.9139;-43.9287;Juventude Bronzeada;Bloco de MPB e música brasileira;02/03/2025;09:00;02/03/2025;120000;GRANDE;Carnaval
Avenida Afonso Pena;Av. Afonso Pena - Centro;Centro-Sul;-19.9205;-43.9378;Baianas Ozadas;Bloco inspirado na música baiana;03/03/2025;08:00;03/03/2025;600000;MEGA;Carnaval
Praça Raul Soares;Praça Raul Soares - Centro;Centro-Sul;-19.9215;-43.9475;Quando Come Se Lambuza;Bloco carnavalesco tradicional;01/03/2025;13:00;01/03/2025;80000;GRANDE;Carnaval
Avenida Brasil;Av. Brasil - Funcionários;Centro-Sul;-19.9315;-43.927;Então, Brilha! Pós;Desfile pós-carnaval;09/03/2025;10:00;09/03/2025;150000;GRANDE;Carnaval
Praça Sete;Praça Sete - Centro;Centro-Sul;-19.9196;-43.9382;Chama o Síndico;Bloco em homenagem a Tim Maia e Jorge Ben;02/03/2025;14:00;02/03/2025;200000;GRANDE;Carnaval
Avenida Amazonas;Av. Amazonas - Centro;Centro-Sul;-19.9188;-43.9401;Truck do Desejo;Bloco LGBTQIA+ tradicional;04/03/2025;12:00;04/03/2025;100000;GRANDE;Carnaval
Praça Duque de Caxias;Praça Duque de Caxias - Santa Tereza;Leste;-19.9151;-43.9247;Havayanas Usadas;Bloco tradicional irreverente de BH;01/03/2025;08:00;01/03/2025;180000;GRANDE;Carnaval
Rua Guaicurus;Rua Guaicurus - Centro;Centro-Sul;-19.9177;-43.9418;Garota Eu Vou Pro Califórnia;Bloco pop e axé;02/03/2025;11:00;02/03/2025;70000;GRANDE;Carnaval
Parque Jacques Cousteau;Praça APA, 703 - Jardim América;Oeste;-19.9412;-43.9752;GRANDE BLOCO DO ENCONTRO;Bloco de rua oficial do Carnaval BH 2026;31/01/2026;09:00;31/01/2026;35000;GRANDE;Carnaval
Belvedere;Rua Juvenal Melo Senra, 385 - Belvedere;Centro-Sul;-19.9731;-43.9405;BURITIS DE GUIMARÃES ROSA;Bloco literário e cultural;31/01/2026;09:30;31/01/2026;12000;MÉDIO;Carnaval
Cidade Nova;Rua Dep. Bernardino de Sena Figueiredo, 961 - Cidade Nova;Nordeste;-19.8847;-43.9192;BLOCO DA FLORESTA;Bloco tradicional de rua;31/01/2026;09:30;31/01/2026;18000;GRANDE;Carnaval
Santo Antônio;Rua João de Freitas, 122 - Santo Antônio;Centro-Sul;-19.9445;-43.9441;VAI DÁ NÃO, BACANA!;Bloco de rua carnavalesco;31/01/2026;10:00;31/01/2026;15000;GRANDE;Carnaval
Santo Antônio;Rua Benvinda de Carvalho, 320 - Santo Antônio;Centro-Sul;-19.9451;-43.946;TREMA NA LINGUIÇA;Bloco tradicional irreverente;31/01/2026;11:00;31/01/2026;22000;GRANDE;Carnaval
